Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits,Capital Gains
2022-12-22 00:00:00+05:30,82.0,82.55,77.55,78.55,7228013,IBREALEST,,,
2022-12-23 00:00:00+05:30,77.85,79.5,73.2,74.2,7374625,IBREALEST,,,
2022-12-26 00:00:00+05:30,74.7,79.2,74.2,78.0,5569011,IBREALEST,,,
2022-12-27 00:00:00+05:30,78.55,81.9,78.55,80.25,6827973,IBREALEST,,,
2022-12-28 00:00:00+05:30,80.25,81.9,79.55,80.4,4700132,IBREALEST,,,
2022-12-29 00:00:00+05:30,79.9,81.3,79.25,80.55,4805902,IBREALEST,,,
2022-12-30 00:00:00+05:30,81.2,83.45,80.55,81.1,6743385,IBREALEST,,,
2023-01-02 00:00:00+05:30,81.35,83.9,81.1,83.25,5703734,IBREALEST,,,
2023-01-03 00:00:00+05:30,83.45,84.9,82.8,83.4,5373835,IBREALEST,,,
2023-01-04 00:00:00+05:30,83.7,83.8,79.8,80.55,5019152,IBREALEST,,,
2023-01-05 00:00:00+05:30,80.95,81.0,77.3,77.8,8232276,IBREALEST,,,
2023-01-06 00:00:00+05:30,77.5,79.65,76.65,77.2,6423338,IBREALEST,,,
2023-01-09 00:00:00+05:30,77.9,79.1,76.7,77.2,5064050,IBREALEST,,,
2023-01-10 00:00:00+05:30,77.4,77.75,75.45,76.35,4012461,IBREALEST,,,
2023-01-11 00:00:00+05:30,76.7,77.6,76.15,76.85,3879381,IBREALEST,,,
2023-01-12 00:00:00+05:30,77.2,78.15,76.3,76.85,4324795,IBREALEST,,,
2023-01-13 00:00:00+05:30,77.1,77.6,76.6,77.15,5690599,IBREALEST,,,
2023-01-16 00:00:00+05:30,77.65,77.7,76.25,76.55,3127799,IBREALEST,,,
2023-01-17 00:00:00+05:30,76.95,78.1,76.1,77.45,4867207,IBREALEST,,,
2023-01-18 00:00:00+05:30,77.55,77.55,76.2,76.5,4793511,IBREALEST,,,
2023-01-19 00:00:00+05:30,76.25,78.25,75.8,76.55,5946136,IBREALEST,,,
2023-01-20 00:00:00+05:30,76.95,77.05,75.1,75.5,3146375,IBREALEST,,,
2023-01-23 00:00:00+05:30,75.9,76.0,73.6,73.9,3536575,IBREALEST,,,
2023-01-24 00:00:00+05:30,74.4,74.65,72.05,72.55,3022041,IBREALEST,,,
2023-01-25 00:00:00+05:30,72.1,72.5,70.45,71.25,3590601,IBREALEST,,,
2023-01-27 00:00:00+05:30,71.85,71.85,66.8,67.9,5161735,IBREALEST,,,
2023-01-30 00:00:00+05:30,68.25,70.45,67.75,69.2,4133268,IBREALEST,,,
2023-01-31 00:00:00+05:30,69.5,73.95,69.15,72.25,4596587,IBREALEST,,,
2023-02-01 00:00:00+05:30,72.6,74.45,68.9,69.65,6621853,IBREALEST,,,
2023-02-02 00:00:00+05:30,69.25,71.4,67.8,69.9,4132448,IBREALEST,,,
2023-02-03 00:00:00+05:30,70.25,70.55,65.5,67.7,6095556,IBREALEST,,,
2023-02-06 00:00:00+05:30,67.15,67.75,65.05,65.95,4502192,IBREALEST,,,
2023-02-07 00:00:00+05:30,66.3,66.3,63.65,64.0,5872814,IBREALEST,,,
2023-02-08 00:00:00+05:30,64.0,64.55,63.5,63.95,5162155,IBREALEST,,,
2023-02-09 00:00:00+05:30,64.35,64.5,62.55,62.9,3810470,IBREALEST,,,
2023-02-10 00:00:00+05:30,63.4,66.0,62.3,64.7,10838056,IBREALEST,,,
2023-02-13 00:00:00+05:30,63.85,63.85,60.0,60.35,7426463,IBREALEST,,,
